name,rating,pieces,minifigs,ownthisset
Pohatu - Uniter of Stone,4.0,90,,678  
Gali - Uniter of Water,3.5,87,,659  
Tahu - Uniter of Fire,3.5,132,,763  
Onua - Uniter of Earth,,143,,705  
Umarak the Hunter,4.8,172,,933  
Kopaka and Melum - Unity set,,171,,765  
Ekimu the Mask Maker,4.5,94,,557  
Lava Beast,3.0,114,,449  
Storm Beast,4.0,109,,403  
Quake Beast,2.0,102,,403  
Umarak the Destroyer,3.0,191,,519  
Supergirl,4.0,6,1,2186  
Green Arrow,,7,1,2327  
Assault on Hoth,3.4,2144,15,3432  
Rey,4.5,84,,4123  
First Order Stormtrooper,,81,,5621  
Poe Dameron,,102,,3286  
Finn,,98,,3355  
Kylo Ren,3.5,86,,5775  
Captain Phasma,5.0,82,,5114  
Sergeant Jyn Erso,4.5,104,,3338  
K-2SO,5.0,169,,5943  
Imperial Death Trooper,5.0,106,,4152  
Resistance X-wing Fighter Microfighter,4.0,87,1,10083  
First Order Snowspeeder Microfighter,4.8,91,1,8322  
The Ghost Microfighter,4.0,104,1,8102  
TIE Advanced Prototype Microfighter,4.0,93,1,9101  
Wookiee Gunship Microfighter,4.3,84,1,9063  
AT-DP Microfighter,3.5,76,1,6210  
Resistance Trooper Battle Pack,4.3,112,4,8995  
First Order Battle Pack,3.7,88,4,10928  
Rebel Alliance Battle Pack,4.4,101,4,8119  
Galactic Empire Battle Pack,4.4,109,4,7640  
Obi-Wan's Jedi Interceptor,3.9,215,2,8352  
Droid Escape Pod,4.2,197,4,9991  
Carbon-Freezing Chamber,4.3,231,4,15469  
Hoth Attack,4.0,233,4,6874  
Battle on Takodana,3.7,409,5,9090  
Resistance Troop Transporter,4.0,646,4,7776  
Kanan's Speeder Bike,4.3,234,3,3586  
Homing Spider Droid,3.7,310,5,2555  
Eclipse Fighter,4.0,363,2,4581  
Star Wars Advent Calendar,4.5,282,10,8231  
StarScavenger,3.0,558,4,3646  
Encounter on Jakku,4.3,530,4,6496  
Resistance X-wing Fighter,4.4,740,4,7637  
Vader's TIE Advanced vs. A-wing Starfighter,4.4,702,4,5652  
Clone Turbo Tank,4.5,903,6,4487  
Imperial Assault Hovertank,4.8,385,3,8911  
AT-ST Walker,4.7,449,3,12083  
TIE Striker,4.6,543,4,7910  
Rebel U-wing Fighter,4.5,659,5,10102  
Krennic's Imperial Shuttle,4.6,863,6,9226  
Captain Rex's AT-TE,4.0,972,5,4015  
Rebel Combat Frigate,4.5,936,5,2758  
Death Star,4.0,4016,27,3430  
Piggy Car Escape,3.5,74,2,1868  
Piggy Plane Attack,,168,2,1487  
Bird Island Egg Heist,3.0,277,3,1450  
Pig City Teardown,4.0,386,4,1364  
Piggy Pirate Ship,4.7,620,4,1467  
King Pig's Castle,4.0,859,5,1239  
Firehouse Headquarters ,5.0,4634,10,8821  
Ecto-1 & 2,4.5,556,6,5883  
Chevrolet Corvette Z06,4.0,173,1,4829  
Ford Mustang GT,5.0,185,1,5807  
Audi R18 e-tron quattro,,166,1,4277  
Audi R8 LMS ultra,3.0,175,1,4373  
Chevrolet Camaro Drag Race,5.0,445,3,3660  
Ford F-150 Raptor & Ford Model A Hot Rod,5.0,664,4,3047  
Porsche 919 Hybrid and 917K Pit Lane,5.0,732,5,2331  
Clash of the Heroes,4.4,92,2,8961  
Kryptonite Interception,4.8,306,3,5224  
Heroes of Justice: Sky High Battle,4.4,517,5,3899  
Black Panther Pursuit,4.4,287,3,6093  
Iron Skull Sub Attack,3.5,335,4,4362  
Avenjet Space Mission,4.8,523,5,4210  
Crossbones' Hazard Heist,4.1,179,3,6435  
Super Hero Airport Battle,5.0,807,7,6408  
Batman Classic TV Series - Batcave,4.3,2526,9,4518  
Gotham City Cycle Chase,3.3,224,3,6743  
Batman: Scarecrow Harvest of Fear,4.7,563,5,3582  
Batman: Killer Croc Sewer Smash,5.0,759,5,2833  
Batman: Rescue from Ra's al Ghul,,257,4,3039  
Spider-Man: Web Warriors Ultimate Bridge Battle,5.0,1092,7,4975  
Spider-Man: Ghost Rider Team-Up,4.6,217,3,6779  
Spider-Man: Doc Ock's Tentacle Trap,3.0,446,5,3299  
Doctor Strange's Sanctum Sanctorum,4.8,358,3,6591  
Mighty Micros: Batman vs. Catwoman,3.0,79,2,5468  
Mighty Micros: Robin vs. Bane,5.0,77,2,4398  
Mighty Micros: The Flash vs. Captain Cold,4.7,88,2,5116  
Mighty Micros: Spider-Man vs. Green Goblin,4.5,85,2,4344  
Mighty Micros: Captain America vs. Red Skull,4.5,95,2,4281  
Mighty Micros: Hulk vs. Ultron,,80,2,4508  
Tanker Truck Takedown,4.6,330,4,3421  
Miku The Dragon,1.0,,,311  
Jynx the Witch's Cat,,,,272  
Lance,4.0,,,881  
Jet Horse,,,,518  
Robin,,,,664  
Two Globlin Spiders,,,,464  
Lava Warrior,,,,725  
Knight Racer,,,,443  
Firecracker Catapult,,,,362  
Kid Clay,,,,616  
Bat-Gun,,,,382  
Mighty Mech Bot,,,,427  
Pilot Bot,,,,398  
Pony Grooming Kit,,,,186  
Parrot and Nest,,,,208  
Valentine's Post Box,,,,199  
Dog on stage,,,,240  
Chocolate Kitchen,,,,200  
Ice Cream Cart,,,,200  
Rabbit and hutch,,,,151  
Happy Beach,,,,227  
Cake stall,4.0,,,198  
Olivia's Laboratory ,,,,172  
Halloween Shop,,,,155  
Gift wrapping table,,,,170  
Christmas Fireplace,,,,160  
Scorpion,,,,242  
Ekimu Falcon,,,,258  
Drinking Bottle—Blue,,,,25  
Drinking Bottle Pink,,,,37  
Drinking Bottle,,,,29  
I Love LEGOLAND keychain Male,,,,132  
Wrayth,,,,37  
NEXO KNIGHTS Macy's Mace,,,,32  
NEXO KNIGHTS Clay's Sword,,,,34  
NK Sword Standard,,,,34  
NK Shield Standard,,,,33  
Knight's Power Up Shield,,,,23  
Monster's Shield,,,,20  
NEXO KNIGHTS Knight s Dress Up,,,,15  
FK Role Play Dress up Bad guy,,,,12  
Knights Army-Building Set,4.0,4,4,934  
Monsters Army-Building Set,4.5,4,4,1050  
